description,courseNumber,departmentCode,courseTitle,avg_gpa,A_rate,B_rate,C_rate,D_rate,F_rate,W_rate,total_enrollment
"The study of coastlines, coastal landforms, and the tectonic and oceanographic forces that shape them. One mandatory Saturday half-day field trip to Assateague Island is required.",111,GEOG,"Introduction to Oceans and Coasts",2.48,22.00,29.00,29.00,11.00,7.00,6.00,556
"A comprehensive course for undergraduate students seeking an academic career integrating multiple disciplines. Provides an in-depth study examining the purpose and value of an interdisciplinary course of study. Consider and design individualized programs as well as initiate interdisciplinary research.",335,IDIS,"Fundamentals of Interdisciplinary Studies",3.17,49.00,32.00,8.00,1.00,8.00,4.00,450
"A general historical survey of musical styles and genres from around the world. Topics may include Western classical music, non-Western cultures, folk music and jazz.",114,MUSC,"Music Appreciation",3.24,51.00,30.00,11.00,4.00,3.00,4.00,671
"Intensive study in a psychological therapeutic technique, person, developmental period or theory.",495,PSYC,"Selected Topics in Psychology",3.58,70.00,19.00,7.00,3.00,1.00,3.00,259
"Introduces the non-biology major to the broad principles, fundamental ideas and new discoveries in biology that significantly affect the human being's present and future existence. Relates the study of biology to the pressing social and cultural issues of today. Does not satisfy requirements within the major.",105,BIOL,"Biology and Society",3.03,36.00,37.00,14.00,5.00,4.00,7.00,483
"Study of the production of television and film programs using single camera and editing techniques.",343,COMM,"Video Field Production",3.33,66.00,19.00,6.00,2.00,9.00,0.00,85
"Complements student teaching internship for elementary/early childhood/dual certification education majors. Integrates theory and practice, facilitates the process of learning to reflect upon one's teaching, and provides support for candidates making the transition from teacher candidate to professional educator. Meets at school sites on a schedule to be announced as part of SU's Professional Development School partnership. Includes clinical experiences.",411,ELED,"Clinical Practice Seminar",3.85,88.00,10.00,2.00,1.00,1.00,1.00,1550
"Designed to help students understand, evaluate and conduct exercise science research. Class members will learn basic concepts and procedures used for conducting research and will become better consumers of research. Students will collaborate to design and present their original research study proposal.",301,EXSC,"Research Methods in Exercise Science",3.52,78.00,11.00,3.00,0.00,9.00,3.00,49
"Directed student internship experience in K-12 schools under the direction of the mentor teacher and University supervision. Half the experience in elementary physical education teaching and half semester in secondary physical education. A grade of NR will be assigned to candidates who satisfactorily complete PHED 470 until successful completion of PHED 471.",471,PHED,"Internship II in Secondary Physical Education",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
"Engages pre-service teachers in planning, teaching, assessment and collaboration in order to support and enhance student learning and well-being. Participation in activities required of fully employed teachers.",428,SCED,"Internship in Middle or High School Education",0.00,0.00,0.00,0.00,0.00,0.00,100.00,1
"Theory, history, structure and functions of mass media (print, film, recording, radio, television, new media), advertising, journalism and public relations.",102,COMM,"Introduction to Mass Media",3.26,52.00,30.00,12.00,2.00,5.00,2.00,654
"Introduces and explores the principles of science education with appropriate methodology and pedagogy that focus on the needs of children birth through grade 3. Attention is given to developmentally appropriate practices and inquiry teaching methods that align to national standards. Special emphasis is given to conceptual learning, cognitive experiences, assessment, research, technology and use of instructional materials that are related to the learning of young children theoretically, developmentally and practically. Includes clinical experiences.",452,ECED,"Teaching Science in Early Childhood Classrooms",3.79,82.00,16.00,2.00,0.00,1.00,1.00,192
"Introduction to basic information and skills required to administer care in emergency situations. Students may earn a nationally recognized certification in emergency cardiovascular care (CPR/AED) and first aid.",102,HLSC,"First Aid and Emergency Care",0.00,0.00,0.00,0.00,0.00,30.00,70.00,10
"Introduces fundamental concepts and skills that form the basis of public health and health education. Historical and contemporary philosophies, principles of the profession, and competencies related to school and community settings are discussed, as well as current health issues. In addition to content knowledge, develop skills in needs assessment and objective writing for health programming.",110,HLTH,"Foundations of Public Health Education",3.58,72.00,19.00,6.00,1.00,3.00,2.00,775
"Continuation of foundational legal and ethical principles relating to business and commerce. Topics include professional liability, business entities, sales contracts, secured transactions, bankruptcy, property law, wills and estates, agency law, employment regulation, and white collar crime. Designed for those who will be providing accounting or consulting services to various types of companies by stressing critical thinking and problem-solving, and includes legal topics commonly found on the uniform CPA examination.",348,ACCT,"Business Law",3.05,31.00,43.00,21.00,1.00,2.00,5.00,471
"In-depth study of the concepts, principles and procedures of accounting for business combinations, branches, partnerships, segment and SEC reporting, estates and trusts, and bankruptcies.",403,ACCT,"Advanced Accounting I",3.11,35.00,43.00,21.00,1.00,1.00,1.00,417
"An introduction to fundamentals of fraud examination, including nature and types of fraud, fraud prevention, and techniques to detect fraud in organizations. Provides the foundation to understanding fraud and its impact on the world around us.",418,ACCT,"Fraud Examination",3.21,38.00,44.00,16.00,0.00,1.00,3.00,567
"Introduction to a variety of international accounting issues encountered by multinational organizations. Areas of focus include International Financial Reporting Standards, consolidations, transfer pricing, taxation, international auditing, strategic planning and corporate social reporting.",430,ACCT,"International Accounting",2.79,19.00,46.00,32.00,3.00,1.00,2.00,421
"Introduction to the study of human biological and cultural evolution from the earliest hominins to the present, with an emphasis on paleoanthropological and archaeological research.",102,ANTH,"Biological Anthropology and Archaeology",2.23,16.00,30.00,25.00,12.00,14.00,6.00,324
